Month,Monthly milk production: pounds per cow,Number of Cows,Total Milk Production,Price_Per_Pound,Total Revenue
15-Feb,750.0,52,,0.27,
15-Mar,707.0,52,,0.27,
15-Apr,807.0,46,,0.27,
15-May,824.0,46,,0.27,
15-Jun,886.0,46,,0.27,
15-Jul,859.0,46,,0.27,
15-Aug,819.0,46,,0.27,
15-Sep,783.0,46,,0.27,
15-Oct,740.0,46,,0.27,
15-Nov,747.0,55,,0.27,
15-Dec,711.0,55,,0.27,
16-Jan,751.0,55,,0.27,
16-Feb,804.0,55,,0.27,
16-Mar,756.0,55,,0.27,
16-Apr,860.0,55,,0.27,
16-May,755.5,55,,0.27,
16-Jun,755.5,55,,0.27,
16-Jul,755.5,55,,0.27,
16-Aug,869.0,55,,0.27,
16-Sep,834.0,55,,0.31,
16-Oct,790.0,55,,0.31,
16-Nov,800.0,55,,0.31,
16-Dec,763.0,55,,0.31,
17-Jan,800.0,55,,0.31,
17-Feb,826.0,55,,0.31,
17-Mar,799.0,55,,0.31,
17-Apr,890.0,55,,0.31,
17-May,755.5,59,,0.31,
17-Jun,961.0,59,,0.31,
17-Jul,935.0,59,,0.31,
17-Aug,894.0,59,,0.31,
17-Sep,855.0,59,,0.31,
17-Oct,809.0,59,,0.31,
17-Nov,810.0,59,,0.31,
17-Dec,766.0,59,,0.31,
18-Jan,805.0,59,,0.31,
18-Feb,821.0,59,,0.31,
18-Mar,773.0,59,,0.31,
18-Apr,755.5,59,,0.31,
18-May,898.0,59,,0.31,
18-Jun,957.0,59,,0.31,
18-Jul,924.0,59,,0.31,
18-Aug,881.0,59,,0.31,
18-Sep,837.0,57,,0.31,
18-Oct,784.0,57,,0.31,
18-Nov,791.0,57,,0.31,
18-Dec,760.0,57,,0.31,
19-Jan,802.0,57,,0.31,
19-Feb,828.0,57,,0.31,
19-Mar,778.0,57,,0.31,
19-Apr,889.0,57,,0.31,
19-May,902.0,57,,0.31,
19-Jun,755.5,57,,0.31,
19-Jul,755.5,57,,0.31,
19-Aug,755.5,57,,0.31,
19-Sep,867.0,57,,0.31,
19-Oct,815.0,62,,0.31,
19-Nov,812.0,62,,0.32,
19-Dec,773.0,62,,0.32,
20-Jan,813.0,62,,0.32,
20-Feb,834.0,62,,0.32,
20-Mar,782.0,62,,0.32,
20-Apr,892.0,62,,0.32,
20-May,903.0,62,,0.32,
20-Jun,966.0,62,,0.32,
20-Jul,937.0,62,,0.32,
20-Aug,896.0,62,,0.32,
20-Sep,858.0,62,,0.32,
20-Oct,755.5,62,,0.32,
20-Nov,755.5,62,,0.32,
20-Dec,797.0,62,,0.32,
21-Jan,843.0,62,,0.32,
